Time,raw_INTAKE_PRESSURE,raw_RPM,raw_SPEED
7.400000000000000000e+01,1.290000000000000000e+02,1.732000000000000000e+03,nan
7.500000000000000000e+01,nan,nan,2.900000000000000000e+01
7.600000000000000000e+01,1.180000000000000000e+02,1.523000000000000000e+03,nan
7.700000000000000000e+01,nan,1.269000000000000000e+03,nan
7.800000000000000000e+01,1.090000000000000000e+02,nan,nan
7.900000000000000000e+01,1.140000000000000000e+02,1.443000000000000000e+03,2.800000000000000000e+01
8.000000000000000000e+01,nan,nan,nan
8.100000000000000000e+01,nan,nan,3.200000000000000000e+01
8.200000000000000000e+01,1.090000000000000000e+02,1.384000000000000000e+03,nan
8.300000000000000000e+01,nan,nan,3.000000000000000000e+01
8.400000000000000000e+01,1.100000000000000000e+02,1.313000000000000000e+03,nan
8.500000000000000000e+01,nan,1.375000000000000000e+03,3.100000000000000000e+01
8.600000000000000000e+01,1.120000000000000000e+02,nan,nan
8.700000000000000000e+01,1.130000000000000000e+02,1.524000000000000000e+03,3.600000000000000000e+01
8.800000000000000000e+01,nan,nan,nan
8.900000000000000000e+01,9.600000000000000000e+01,1.429500000000000000e+03,3.300000000000000000e+01
9.000000000000000000e+01,nan,nan,nan
9.100000000000000000e+01,nan,1.284000000000000000e+03,3.000000000000000000e+01
9.200000000000000000e+01,nan,nan,nan
9.300000000000000000e+01,1.160000000000000000e+02,1.329500000000000000e+03,nan
9.400000000000000000e+01,nan,nan,nan
9.500000000000000000e+01,1.090000000000000000e+02,1.450500000000000000e+03,3.400000000000000000e+01
9.600000000000000000e+01,nan,nan,nan
9.700000000000000000e+01,9.700000000000000000e+01,1.343000000000000000e+03,3.100000000000000000e+01
9.800000000000000000e+01,nan,nan,nan
9.900000000000000000e+01,9.600000000000000000e+01,1.198000000000000000e+03,2.800000000000000000e+01
1.000000000000000000e+02,nan,nan,nan
1.010000000000000000e+02,9.700000000000000000e+01,1.047000000000000000e+03,2.500000000000000000e+01
1.020000000000000000e+02,nan,nan,nan
1.030000000000000000e+02,1.020000000000000000e+02,8.305000000000000000e+02,2.000000000000000000e+01
1.040000000000000000e+02,nan,nan,1.200000000000000000e+01
1.050000000000000000e+02,nan,7.955000000000000000e+02,nan
1.060000000000000000e+02,nan,nan,6.000000000000000000e+00
1.070000000000000000e+02,nan,7.490000000000000000e+02,nan
1.080000000000000000e+02,nan,nan,1.000000000000000000e+00
1.090000000000000000e+02,nan,7.850000000000000000e+02,nan
1.100000000000000000e+02,nan,nan,0.000000000000000000e+00
1.110000000000000000e+02,4.500000000000000000e+01,2.230000000000000000e+02,nan
1.120000000000000000e+02,nan,0.000000000000000000e+00,nan
1.130000000000000000e+02,1.020000000000000000e+02,nan,nan
1.140000000000000000e+02,nan,nan,nan
1.150000000000000000e+02,nan,nan,nan
1.160000000000000000e+02,nan,nan,nan
1.170000000000000000e+02,nan,nan,nan
1.180000000000000000e+02,1.000000000000000000e+02,9.440000000000000000e+02,nan
1.190000000000000000e+02,nan,nan,nan
1.200000000000000000e+02,1.160000000000000000e+02,1.567000000000000000e+03,9.000000000000000000e+00
1.210000000000000000e+02,nan,nan,nan
1.220000000000000000e+02,1.180000000000000000e+02,1.547000000000000000e+03,1.600000000000000000e+01
1.230000000000000000e+02,nan,nan,nan
1.240000000000000000e+02,1.080000000000000000e+02,1.407500000000000000e+03,2.000000000000000000e+01
1.250000000000000000e+02,nan,nan,nan
1.260000000000000000e+02,1.050000000000000000e+02,1.152000000000000000e+03,1.800000000000000000e+01
1.270000000000000000e+02,nan,nan,nan
1.280000000000000000e+02,1.020000000000000000e+02,7.835000000000000000e+02,1.500000000000000000e+01
1.290000000000000000e+02,nan,nan,nan
1.300000000000000000e+02,1.010000000000000000e+02,9.620000000000000000e+02,1.300000000000000000e+01
1.310000000000000000e+02,nan,nan,1.600000000000000000e+01
1.320000000000000000e+02,1.080000000000000000e+02,1.074500000000000000e+03,nan
1.330000000000000000e+02,nan,nan,1.300000000000000000e+01
1.340000000000000000e+02,1.030000000000000000e+02,7.975000000000000000e+02,nan
1.350000000000000000e+02,nan,7.580000000000000000e+02,4.000000000000000000e+00
1.360000000000000000e+02,1.020000000000000000e+02,nan,nan
1.370000000000000000e+02,nan,7.850000000000000000e+02,0.000000000000000000e+00
1.380000000000000000e+02,nan,nan,nan
1.390000000000000000e+02,nan,0.000000000000000000e+00,nan
1.400000000000000000e+02,nan,nan,nan
1.410000000000000000e+02,nan,nan,nan
1.420000000000000000e+02,1.010000000000000000e+02,nan,nan
1.430000000000000000e+02,nan,7.870000000000000000e+02,nan
1.440000000000000000e+02,1.020000000000000000e+02,nan,nan
1.450000000000000000e+02,nan,0.000000000000000000e+00,nan
1.460000000000000000e+02,nan,nan,nan
1.470000000000000000e+02,nan,nan,nan
1.480000000000000000e+02,nan,nan,nan
