# Time,raw_RPM,raw_SPEED,ma_12_RPM,ma_12_SPEED,d1_RPM,d2_RPM,d1_SPEED,d2_SPEED
5.570000000000000000e+02,1.594500000000000000e+03,8.000000000000000000e+01,1.608083333333333258e+03,7.825000000000000000e+01,-1.650000000000000000e+01,-1.650000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00
5.580000000000000000e+02,1.594500000000000000e+03,7.400000000000000000e+01,1.588625000000000000e+03,7.600000000000000000e+01,0.000000000000000000e+00,1.650000000000000000e+01,-6.000000000000000000e+00,-6.000000000000000000e+00
5.590000000000000000e+02,1.731500000000000000e+03,7.400000000000000000e+01,1.569999999999999773e+03,7.374999999999998579e+01,1.370000000000000000e+02,1.370000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00
5.600000000000000000e+02,1.731500000000000000e+03,6.800000000000000000e+01,1.545333333333333030e+03,7.124999999999998579e+01,0.000000000000000000e+00,-1.370000000000000000e+02,-6.000000000000000000e+00,-6.000000000000000000e+00
5.610000000000000000e+02,1.486000000000000000e+03,6.800000000000000000e+01,1.520416666666666515e+03,6.866666666666665719e+01,-2.455000000000000000e+02,-2.455000000000000000e+02,0.000000000000000000e+00,6.000000000000000000e+00
5.620000000000000000e+02,1.486000000000000000e+03,6.300000000000000000e+01,1.495624999999999773e+03,6.583333333333331439e+01,0.000000000000000000e+00,2.455000000000000000e+02,-5.000000000000000000e+00,-5.000000000000000000e+00
5.630000000000000000e+02,1.386000000000000000e+03,5.900000000000000000e+01,1.461041666666666515e+03,6.341666666666665009e+01,-1.000000000000000000e+02,-1.000000000000000000e+02,-4.000000000000000000e+00,1.000000000000000000e+00
5.640000000000000000e+02,1.386000000000000000e+03,5.900000000000000000e+01,1.427833333333333485e+03,6.099999999999998579e+01,0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00,4.000000000000000000e+00
5.650000000000000000e+02,1.313500000000000000e+03,5.600000000000000000e+01,1.407291666666666742e+03,5.841666666666665719e+01,-7.250000000000000000e+01,-7.250000000000000000e+01,-3.000000000000000000e+00,-3.000000000000000000e+00
5.660000000000000000e+02,1.313500000000000000e+03,5.600000000000000000e+01,1.375333333333333258e+03,5.583333333333332860e+01,0.000000000000000000e+00,7.250000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00
5.670000000000000000e+02,1.313500000000000000e+03,5.300000000000000000e+01,1.345291666666666515e+03,5.333333333333332860e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.000000000000000000e+00,-3.000000000000000000e+00
5.680000000000000000e+02,1.196000000000000000e+03,5.100000000000000000e+01,1.373208333333333258e+03,5.083333333333332860e+01,-1.175000000000000000e+02,-1.175000000000000000e+02,-2.000000000000000000e+00,1.000000000000000000e+00
5.690000000000000000e+02,1.196000000000000000e+03,5.100000000000000000e+01,1.401125000000000000e+03,4.958333333333332860e+01,0.000000000000000000e+00,1.175000000000000000e+02,0.000000000000000000e+00,2.000000000000000000e+00
5.700000000000000000e+02,1.348000000000000000e+03,4.300000000000000000e+01,1.421500000000000000e+03,4.866666666666665719e+01,1.520000000000000000e+02,1.520000000000000000e+02,-8.000000000000000000e+00,-8.000000000000000000e+00
5.710000000000000000e+02,1.348000000000000000e+03,4.300000000000000000e+01,1.441875000000000000e+03,4.799999999999999289e+01,0.000000000000000000e+00,-1.520000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+00
5.720000000000000000e+02,1.371000000000000000e+03,3.800000000000000000e+01,1.470333333333333485e+03,4.758333333333332860e+01,2.300000000000000000e+01,2.300000000000000000e+01,-5.000000000000000000e+00,-5.000000000000000000e+00
5.730000000000000000e+02,1.821000000000000000e+03,3.800000000000000000e+01,1.498333333333333258e+03,4.716666666666667140e+01,4.500000000000000000e+02,4.270000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e+00
5.740000000000000000e+02,1.821000000000000000e+03,4.800000000000000000e+01,1.526333333333333258e+03,4.708333333333333570e+01,0.000000000000000000e+00,-4.500000000000000000e+02,1.000000000000000000e+01,1.000000000000000000e+01
5.750000000000000000e+02,1.630500000000000000e+03,4.800000000000000000e+01,1.565916666666666515e+03,4.716666666666667140e+01,-1.905000000000000000e+02,-1.905000000000000000e+02,0.000000000000000000e+00,-1.000000000000000000e+01
5.760000000000000000e+02,1.630500000000000000e+03,5.100000000000000000e+01,1.606041666666666515e+03,4.725000000000000711e+01,0.000000000000000000e+00,1.905000000000000000e+02,3.000000000000000000e+00,3.000000000000000000e+00
5.770000000000000000e+02,1.655000000000000000e+03,5.100000000000000000e+01,1.633500000000000000e+03,4.791666666666667140e+01,2.450000000000000000e+01,2.450000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00
5.780000000000000000e+02,1.649500000000000000e+03,5.100000000000000000e+01,1.658208333333333485e+03,4.858333333333333570e+01,-5.500000000000000000e+00,-3.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.790000000000000000e+02,1.649500000000000000e+03,5.200000000000000000e+01,1.676500000000000227e+03,4.950000000000000000e+01,0.000000000000000000e+00,5.500000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
5.800000000000000000e+02,1.671000000000000000e+03,5.200000000000000000e+01,1.657291666666666970e+03,5.041666666666667140e+01,2.150000000000000000e+01,2.150000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00
5.810000000000000000e+02,1.677500000000000000e+03,5.200000000000000000e+01,1.634625000000000000e+03,5.041666666666667140e+01,6.500000000000000000e+00,-1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
5.820000000000000000e+02,1.677500000000000000e+03,5.100000000000000000e+01,1.627833333333333258e+03,5.025000000000000711e+01,0.000000000000000000e+00,-6.500000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
5.830000000000000000e+02,1.644500000000000000e+03,5.100000000000000000e+01,1.615833333333333030e+03,4.983333333333333570e+01,-3.300000000000000000e+01,-3.300000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00
5.840000000000000000e+02,1.590500000000000000e+03,4.900000000000000000e+01,1.606374999999999545e+03,4.958333333333333570e+01,-5.400000000000000000e+01,-2.100000000000000000e+01,-2.000000000000000000e+00,-2.000000000000000000e+00
5.850000000000000000e+02,1.590500000000000000e+03,4.900000000000000000e+01,1.597374999999999545e+03,4.933333333333333570e+01,0.000000000000000000e+00,5.400000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00
5.860000000000000000e+02,1.549000000000000000e+03,4.800000000000000000e+01,1.600499999999999545e+03,4.933333333333333570e+01,-4.150000000000000000e+01,-4.150000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00
5.870000000000000000e+02,1.549000000000000000e+03,4.600000000000000000e+01,1.584458333333332803e+03,4.883333333333333570e+01,0.000000000000000000e+00,4.150000000000000000e+01,-2.000000000000000000e+00,-1.000000000000000000e+00
5.880000000000000000e+02,1.486500000000000000e+03,4.600000000000000000e+01,1.567874999999999545e+03,4.833333333333333570e+01,-6.250000000000000000e+01,-6.250000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00
5.890000000000000000e+02,1.541500000000000000e+03,4.800000000000000000e+01,1.568333333333332803e+03,4.766666666666667140e+01,5.500000000000000000e+01,1.175000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+00
5.900000000000000000e+02,1.541500000000000000e+03,4.800000000000000000e+01,1.558041666666666288e+03,4.733333333333333570e+01,0.000000000000000000e+00,-5.500000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00
5.910000000000000000e+02,1.687000000000000000e+03,5.200000000000000000e+01,1.552249999999999545e+03,4.716666666666665719e+01,1.455000000000000000e+02,1.455000000000000000e+02,4.000000000000000000e+00,4.000000000000000000e+00
