# Time,raw_RPM,raw_SPEED
1.500000000000000000e+02,nan,nan
1.510000000000000000e+02,1.527500000000000000e+03,nan
1.520000000000000000e+02,nan,nan
1.530000000000000000e+02,1.753500000000000000e+03,2.300000000000000000e+01
1.540000000000000000e+02,nan,3.200000000000000000e+01
1.550000000000000000e+02,1.477000000000000000e+03,nan
1.560000000000000000e+02,nan,4.100000000000000000e+01
1.570000000000000000e+02,1.798500000000000000e+03,nan
1.580000000000000000e+02,1.548000000000000000e+03,4.600000000000000000e+01
1.590000000000000000e+02,nan,nan
1.600000000000000000e+02,1.600000000000000000e+03,5.000000000000000000e+01
1.610000000000000000e+02,nan,nan
1.620000000000000000e+02,1.667000000000000000e+03,5.200000000000000000e+01
1.630000000000000000e+02,nan,nan
1.640000000000000000e+02,1.668000000000000000e+03,5.300000000000000000e+01
1.650000000000000000e+02,nan,nan
1.660000000000000000e+02,1.623000000000000000e+03,5.000000000000000000e+01
1.670000000000000000e+02,nan,nan
1.680000000000000000e+02,1.550500000000000000e+03,4.800000000000000000e+01
1.690000000000000000e+02,nan,nan
1.700000000000000000e+02,1.480500000000000000e+03,4.600000000000000000e+01
1.710000000000000000e+02,nan,nan
1.720000000000000000e+02,1.527500000000000000e+03,4.700000000000000000e+01
1.730000000000000000e+02,nan,nan
1.740000000000000000e+02,1.570000000000000000e+03,4.800000000000000000e+01
1.750000000000000000e+02,nan,4.600000000000000000e+01
1.760000000000000000e+02,1.490000000000000000e+03,nan
1.770000000000000000e+02,nan,4.400000000000000000e+01
1.780000000000000000e+02,1.407500000000000000e+03,nan
1.790000000000000000e+02,1.322000000000000000e+03,4.100000000000000000e+01
1.800000000000000000e+02,nan,nan
1.810000000000000000e+02,1.189500000000000000e+03,3.700000000000000000e+01
1.820000000000000000e+02,nan,nan
1.830000000000000000e+02,1.274500000000000000e+03,2.900000000000000000e+01
1.840000000000000000e+02,nan,nan
1.850000000000000000e+02,8.555000000000000000e+02,2.000000000000000000e+01
1.860000000000000000e+02,nan,nan
1.870000000000000000e+02,7.595000000000000000e+02,8.000000000000000000e+00
1.880000000000000000e+02,nan,nan
1.890000000000000000e+02,7.730000000000000000e+02,3.000000000000000000e+00
1.900000000000000000e+02,nan,nan
1.910000000000000000e+02,1.408500000000000000e+03,6.000000000000000000e+00
1.920000000000000000e+02,nan,nan
1.930000000000000000e+02,1.645500000000000000e+03,1.600000000000000000e+01
1.940000000000000000e+02,nan,2.300000000000000000e+01
1.950000000000000000e+02,1.591000000000000000e+03,nan
1.960000000000000000e+02,1.770000000000000000e+03,2.400000000000000000e+01
1.970000000000000000e+02,nan,nan
1.980000000000000000e+02,1.531500000000000000e+03,2.300000000000000000e+01
1.990000000000000000e+02,nan,nan
2.000000000000000000e+02,1.255000000000000000e+03,1.900000000000000000e+01
2.010000000000000000e+02,nan,nan
2.020000000000000000e+02,7.915000000000000000e+02,1.400000000000000000e+01
2.030000000000000000e+02,nan,nan
2.040000000000000000e+02,7.825000000000000000e+02,1.300000000000000000e+01
2.050000000000000000e+02,nan,nan
2.060000000000000000e+02,7.855000000000000000e+02,1.200000000000000000e+01
2.070000000000000000e+02,nan,nan
2.080000000000000000e+02,7.850000000000000000e+02,1.100000000000000000e+01
2.090000000000000000e+02,nan,nan
2.100000000000000000e+02,7.760000000000000000e+02,9.000000000000000000e+00
2.110000000000000000e+02,nan,nan
2.120000000000000000e+02,1.790500000000000000e+03,1.500000000000000000e+01
2.130000000000000000e+02,nan,nan
2.140000000000000000e+02,1.815000000000000000e+03,2.700000000000000000e+01
2.150000000000000000e+02,nan,nan
2.160000000000000000e+02,1.205500000000000000e+03,3.100000000000000000e+01
2.170000000000000000e+02,nan,3.000000000000000000e+01
2.180000000000000000e+02,1.305000000000000000e+03,nan
2.190000000000000000e+02,nan,3.900000000000000000e+01
2.200000000000000000e+02,1.716500000000000000e+03,nan
2.210000000000000000e+02,1.525500000000000000e+03,4.500000000000000000e+01
2.220000000000000000e+02,nan,nan
2.230000000000000000e+02,1.521500000000000000e+03,4.700000000000000000e+01
2.240000000000000000e+02,nan,nan
2.250000000000000000e+02,1.539500000000000000e+03,4.900000000000000000e+01
2.260000000000000000e+02,nan,nan
2.270000000000000000e+02,1.482500000000000000e+03,4.600000000000000000e+01
2.280000000000000000e+02,nan,nan
2.290000000000000000e+02,1.499500000000000000e+03,nan
2.300000000000000000e+02,nan,nan
2.310000000000000000e+02,1.496000000000000000e+03,nan
2.320000000000000000e+02,nan,nan
2.330000000000000000e+02,1.495000000000000000e+03,nan
2.340000000000000000e+02,nan,nan
2.350000000000000000e+02,1.497500000000000000e+03,nan
2.360000000000000000e+02,nan,nan
2.370000000000000000e+02,1.479500000000000000e+03,nan
2.380000000000000000e+02,nan,nan
2.390000000000000000e+02,1.253500000000000000e+03,4.000000000000000000e+01
2.400000000000000000e+02,nan,nan
2.410000000000000000e+02,1.351000000000000000e+03,3.100000000000000000e+01
2.420000000000000000e+02,nan,2.300000000000000000e+01
2.430000000000000000e+02,9.465000000000000000e+02,nan
2.440000000000000000e+02,nan,7.000000000000000000e+00
2.450000000000000000e+02,7.395000000000000000e+02,nan
2.460000000000000000e+02,7.815000000000000000e+02,0.000000000000000000e+00
2.470000000000000000e+02,nan,nan
2.480000000000000000e+02,0.000000000000000000e+00,nan
2.490000000000000000e+02,nan,nan
2.500000000000000000e+02,nan,nan
2.510000000000000000e+02,nan,nan
2.520000000000000000e+02,nan,nan
2.530000000000000000e+02,nan,nan
2.540000000000000000e+02,nan,nan
2.550000000000000000e+02,nan,nan
2.560000000000000000e+02,nan,nan
2.570000000000000000e+02,nan,nan
2.580000000000000000e+02,nan,nan
2.590000000000000000e+02,nan,nan
2.600000000000000000e+02,nan,nan
2.610000000000000000e+02,nan,nan
2.620000000000000000e+02,nan,nan
2.630000000000000000e+02,nan,nan
2.640000000000000000e+02,nan,nan
2.650000000000000000e+02,nan,nan
2.660000000000000000e+02,nan,nan
2.670000000000000000e+02,nan,nan
2.680000000000000000e+02,nan,nan
2.690000000000000000e+02,nan,nan
2.700000000000000000e+02,nan,nan
2.710000000000000000e+02,1.628500000000000000e+03,5.000000000000000000e+00
2.720000000000000000e+02,nan,nan
2.730000000000000000e+02,2.073500000000000000e+03,1.900000000000000000e+01
2.740000000000000000e+02,nan,nan
2.750000000000000000e+02,1.939500000000000000e+03,2.900000000000000000e+01
2.760000000000000000e+02,nan,nan
2.770000000000000000e+02,1.515500000000000000e+03,3.200000000000000000e+01
2.780000000000000000e+02,nan,nan
2.790000000000000000e+02,1.392500000000000000e+03,nan
2.800000000000000000e+02,nan,nan
2.810000000000000000e+02,1.598000000000000000e+03,3.600000000000000000e+01
2.820000000000000000e+02,nan,4.000000000000000000e+01
2.830000000000000000e+02,1.722500000000000000e+03,nan
2.840000000000000000e+02,nan,nan
2.850000000000000000e+02,1.743000000000000000e+03,nan
2.860000000000000000e+02,1.918000000000000000e+03,4.400000000000000000e+01
2.870000000000000000e+02,nan,nan
2.880000000000000000e+02,1.865000000000000000e+03,5.100000000000000000e+01
2.890000000000000000e+02,nan,nan
2.900000000000000000e+02,nan,nan
2.910000000000000000e+02,1.618500000000000000e+03,nan
2.920000000000000000e+02,1.614000000000000000e+03,5.000000000000000000e+01
2.930000000000000000e+02,nan,nan
2.940000000000000000e+02,1.613000000000000000e+03,nan
2.950000000000000000e+02,nan,nan
2.960000000000000000e+02,1.504000000000000000e+03,4.700000000000000000e+01
2.970000000000000000e+02,nan,nan
2.980000000000000000e+02,1.375000000000000000e+03,4.300000000000000000e+01
2.990000000000000000e+02,nan,nan
3.000000000000000000e+02,1.215000000000000000e+03,3.800000000000000000e+01
3.010000000000000000e+02,nan,nan
3.020000000000000000e+02,1.388500000000000000e+03,3.200000000000000000e+01
3.030000000000000000e+02,nan,nan
3.040000000000000000e+02,1.269000000000000000e+03,2.900000000000000000e+01
3.050000000000000000e+02,nan,nan
3.060000000000000000e+02,1.045500000000000000e+03,2.400000000000000000e+01
3.070000000000000000e+02,nan,nan
3.080000000000000000e+02,8.145000000000000000e+02,1.700000000000000000e+01
3.090000000000000000e+02,nan,nan
3.100000000000000000e+02,7.420000000000000000e+02,8.000000000000000000e+00
3.110000000000000000e+02,nan,5.000000000000000000e+00
3.120000000000000000e+02,7.690000000000000000e+02,nan
3.130000000000000000e+02,nan,0.000000000000000000e+00
3.140000000000000000e+02,7.780000000000000000e+02,nan
3.150000000000000000e+02,5.450000000000000000e+01,nan
3.160000000000000000e+02,nan,nan
3.170000000000000000e+02,7.830000000000000000e+02,1.000000000000000000e+00
3.180000000000000000e+02,nan,nan
3.190000000000000000e+02,1.830000000000000000e+03,9.000000000000000000e+00
3.200000000000000000e+02,nan,nan
3.210000000000000000e+02,1.787000000000000000e+03,2.700000000000000000e+01
3.220000000000000000e+02,nan,nan
3.230000000000000000e+02,1.233500000000000000e+03,3.100000000000000000e+01
3.240000000000000000e+02,nan,nan
3.250000000000000000e+02,1.272000000000000000e+03,2.900000000000000000e+01
3.260000000000000000e+02,nan,nan
3.270000000000000000e+02,1.235500000000000000e+03,2.800000000000000000e+01
3.280000000000000000e+02,nan,nan
3.290000000000000000e+02,1.246500000000000000e+03,nan
